Wall time,Step,Value
1750086830.0711052,42,2395.52490234375
1750086842.403143,94,1442.8302001953125
1750086880.8838758,167,981.565673828125
1750086894.523839,229,748.507080078125
1750086895.6178362,234,1090.67431640625
1750086904.1371443,273,1068.091552734375
1750086911.6313193,308,949.7678833007812
1750086912.0843632,310,952.505859375
1750086913.860636,318,552.7857666015625
1750086949.2234266,474,601.78076171875
1750088041.9942539,536,352.51458740234375
1750088053.5951023,579,469.1230773925781
1750088055.44552,586,646.622314453125
1750088069.7236085,634,416.4487609863281
1750088074.22973,647,550.7144775390625
1750088095.051619,714,596.1329956054688
1750088097.2150245,722,1364.0272216796875
1750088122.6150243,808,981.8846435546875
1750088130.2250154,836,1036.064208984375
1750088185.9574623,1014,867.566162109375
1750088202.348423,1066,1018.469482421875
1750088214.4281657,1104,1445.766357421875
1750088239.425903,1180,719.281005859375
1750088263.7535796,1261,635.9308471679688
1750088284.8862703,1316,758.6461181640625
1750088285.7544336,1319,665.4990844726562
1750088290.7698965,1333,697.2579956054688
1750088292.2834964,1337,755.3556518554688
1750088309.6584535,1385,751.234619140625
1750088311.7217858,1392,684.9598388671875
1750088329.2657073,1436,726.9283447265625
1750088378.9105365,1552,511.496337890625
1750088450.4166057,1691,635.6072387695312
1750088477.6624491,1734,591.250732421875
1750088479.9932666,1737,639.293701171875
1750088551.534134,1844,634.5123291015625
1750088577.319768,1877,680.9991455078125
1750088601.7379446,1917,847.948486328125
1750088664.2218432,2036,504.7420654296875
1750088692.234439,2096,559.256591796875
1750088746.7728832,2199,714.3178100585938
1750088777.342535,2262,790.9048461914062
1750088802.9304028,2307,888.9420166015625
1750088859.9306202,2389,767.649169921875
1750088898.6783626,2436,491.3973388671875
1750088939.258014,2485,534.1132202148438
1750088940.1087873,2486,525.8638916015625
1750088949.995743,2498,445.99822998046875
1750088981.6937375,2532,646.223876953125
1750089125.7698896,2685,774.53466796875
1750089177.5325515,2740,846.060791015625
1750089385.367297,2967,789.9490966796875
1750089452.9581532,3038,681.5738525390625
1750089572.3277934,3161,667.068359375
1750089641.2229757,3230,745.6439819335938
1750089657.1851795,3246,288.18878173828125
1750089658.123139,3247,456.7017822265625
1750089712.7182462,3305,774.1923217773438
1750090019.1248665,3618,606.0239868164062
1750090021.0992374,3620,928.1443481445312
1750090070.8604236,3670,304.6527099609375
1750090141.7192411,3741,622.047119140625
1750090218.351711,3814,388.7680969238281
1750090224.843036,3821,451.5389404296875
1750090331.1064012,3928,771.828125
1750090360.1730254,3956,433.9057312011719
1750090442.453342,4036,589.1587524414062
1750090509.1227574,4098,524.29345703125
1750090610.4330168,4196,636.60107421875
1750090648.958341,4232,389.7229919433594
1750090737.4250891,4317,478.45001220703125
1750090823.8160164,4400,332.68707275390625
1750090924.653552,4492,663.208984375
1750090943.6352527,4509,721.8858642578125
1750091111.3019974,4664,422.43560791015625
1750091115.473888,4668,498.013916015625
1750091123.583585,4676,364.2152099609375
1750091241.570818,4788,653.2545776367188
1750091256.7405462,4802,476.50048828125
1750091351.96839,4894,381.9788513183594
1750091431.9250317,4971,762.012451171875
1750091572.9647057,5106,578.20166015625
1750091602.575357,5134,398.2464599609375
1750091829.7294106,5345,450.46771240234375
1750091845.4001307,5359,716.152099609375
1750092046.3816686,5549,361.8354797363281
1750092184.241347,5679,490.0403137207031
1750092232.5787604,5723,757.9691162109375
1750092325.678578,5808,608.2142944335938
1750092382.8740485,5864,735.753173828125
1750092389.300693,5871,279.1354064941406
1750092426.794463,5907,284.7446594238281
1750092511.8674352,5990,529.7337646484375
1750092726.1995394,6200,574.2980346679688
1750092746.4079165,6219,328.2078857421875
1750092817.0511014,6289,303.6055603027344
1750092909.7237496,6376,311.52435302734375
1750093110.4968925,6574,481.26287841796875
1750093140.6649685,6603,341.138916015625
1750093238.534064,6699,387.69696044921875
1750093249.4764545,6711,390.53509521484375
1750093398.8005593,6854,619.3392333984375
1750093508.8848245,6966,508.86590576171875
1750093660.8412645,7114,397.4998474121094
1750093699.8464224,7155,278.12249755859375
1750093926.1454778,7382,304.41644287109375
1750094008.3346176,7460,281.65570068359375
1750094011.489517,7463,344.68206787109375
1750094026.5510294,7478,429.19232177734375
1750094059.4261355,7511,580.18994140625
1750094339.9574552,7788,320.752197265625
1750094350.5248902,7798,262.13702392578125
1750094385.4921086,7833,206.46656799316406
1750094540.7702012,7991,213.1094970703125
1750094617.803111,8066,198.7591094970703
1750094729.121799,8180,323.0563659667969
1750094769.2275176,8221,195.60877990722656
1750094914.6284466,8363,413.7471008300781
1750094919.8971095,8368,933.6957397460938
1750094929.7184277,8377,479.6180419921875
1750095051.2316759,8498,608.7042846679688
1750095060.949075,8508,236.2694549560547
1750095152.4620197,8601,180.60723876953125
1750095431.8848073,8878,211.5684814453125
1750095462.2478693,8907,361.1085205078125
1750095483.9010303,8928,329.1324157714844
1750095492.6382568,8935,223.51504516601562
1750095564.7530422,8993,407.0364990234375
1750095845.5301583,9260,297.5669860839844
1750096050.3201637,9468,162.5428924560547
1750096139.9798028,9554,361.373779296875
1750096152.8552067,9567,632.8782958984375
1750096264.8345516,9680,421.6023864746094
1750096282.0562756,9698,242.917724609375
1750096429.7749724,9843,336.7640380859375
1750096494.803852,9907,400.3263244628906
1750096872.700391,10276,336.224853515625
1750096878.7193542,10283,449.01910400390625
1750096990.3001895,10399,420.9934997558594
1750097073.1974862,10479,379.7442932128906
1750097118.3240514,10522,246.5382537841797
1750097200.9529636,10607,590.777587890625
1750097247.8157258,10654,316.27392578125
1750097306.7018445,10711,138.70138549804688
1750097353.6191537,10757,251.92759704589844
1750097354.712675,10758,483.73828125
1750097377.8030787,10780,659.211669921875
1750097447.8583212,10850,872.8363647460938
1750097500.9888356,10902,226.95925903320312
1750097504.090095,10905,341.75030517578125
1750097540.8340526,10943,544.25244140625
1750097564.5089204,10966,583.8990478515625
1750097572.2436764,10974,247.32858276367188
1750097620.2779846,11020,304.5570983886719
1750097701.0384135,11102,470.3616638183594
1750097719.8783612,11121,377.0706787109375
1750097799.3919554,11198,330.2860107421875
1750098026.1438162,11419,234.31275939941406
1750098079.8845315,11472,231.1446990966797
1750098097.2934797,11492,369.28167724609375
1750098127.933771,11523,385.1905212402344
1750098137.4512105,11532,242.36605834960938
1750098172.340839,11566,436.660400390625
1750098292.2028866,11685,251.79994201660156
1750098367.6058328,11759,587.3675537109375
1750098555.728845,11969,342.9621276855469
1750098558.1006157,11974,339.3389587402344
1750098591.209253,12010,371.40447998046875
1750098709.628096,12138,259.96295166015625
1750098731.894861,12164,403.35540771484375
1750098849.836864,12290,578.0447998046875
1750099207.0347118,12671,24.82027244567871
1750099407.739879,12877,29.127044677734375
1750099456.2881303,12939,870.3497924804688
1750099545.491239,13034,656.404052734375
1750099570.2801301,13061,846.275146484375
1750099592.0887878,13082,545.855712890625
1750099604.5784326,13094,714.5982666015625
1750099619.409855,13109,318.447998046875
1750099890.2759662,13402,275.89739990234375
1750099984.5677679,13504,312.784423828125
1750100024.062975,13546,379.11566162109375
1750100066.5634966,13597,585.8402709960938
1750100086.0177093,13620,680.652587890625
1750100139.7368476,13679,461.4061584472656
1750100266.3677368,13810,563.720947265625
1750100334.573156,13884,417.0050964355469
1750100515.4041955,14080,291.715087890625
1750100635.8851001,14221,490.9239501953125
1750100709.541887,14294,490.87255859375
1750100736.8887162,14320,521.1270751953125
1750100754.4503694,14338,417.228515625
1750100811.3559258,14397,688.5242919921875
1750100859.097097,14447,548.7286376953125
1750101030.7793694,14632,451.8384094238281
1750101036.1419961,14638,903.1959838867188
1750101053.1575475,14668,457.23565673828125
1750101061.5325208,14677,750.8443603515625
1750101072.0636275,14687,381.5378112792969
1750101157.813925,14779,565.3307495117188
1750101166.87926,14788,759.9041748046875
1750101181.609659,14809,809.69677734375
1750101239.8127205,14873,451.4470520019531
1750101259.9615457,14892,410.6235656738281
1750101446.710456,15090,448.67706298828125
1750101522.9017997,15180,689.2910766601562
1750101598.3227258,15266,897.7866821289062
1750101651.1382926,15324,567.5799560546875
1750101790.3426764,15473,362.6701354980469
1750101792.2230039,15475,477.5852355957031
1750101816.8138232,15507,919.4815063476562
1750101845.5601716,15538,676.3551025390625
1750102033.331875,15740,486.52838134765625
1750102056.6349218,15764,702.551025390625
1750102269.881829,15993,608.2982177734375
1750102370.5527086,16095,500.2604675292969
1750102389.5921798,16116,502.03814697265625
1750102512.9514267,16249,649.883544921875
1750102578.100291,16321,746.972412109375
1750102598.4383876,16343,607.2738037109375
1750102660.4007895,16406,682.0626220703125
1750102749.7661872,16505,606.1314697265625
1750102928.5438325,16697,312.3663330078125
1750103026.9132376,16809,379.9046325683594
1750103073.1864023,16857,674.2986450195312
1750103109.9169781,16899,305.61883544921875
1750103266.4894722,17066,400.7750549316406
1750103295.455093,17097,650.2515258789062
1750103424.7298188,17239,457.80255126953125
1750103470.8289394,17292,546.5836181640625
1750103495.923367,17317,655.2442016601562
1750103517.3129404,17339,488.5551452636719
1750103618.9317322,17444,948.5521240234375
1750103707.800473,17543,922.0765380859375
1750103722.6278093,17557,371.29083251953125
1750103751.388616,17586,786.8526000976562
1750103758.65878,17594,695.7125244140625
1750103781.373815,17623,527.4616088867188
1750103869.2540717,17722,577.287841796875
1750104079.681018,17953,435.95819091796875
1750104144.7258308,18018,611.32177734375
1750104182.3995929,18065,640.9605102539062
1750104370.8457022,18264,233.2616424560547
1750104426.7028315,18318,603.5972900390625
1750104542.792911,18451,582.4664306640625
1750104675.4993012,18592,303.73388671875
1750104909.0182226,18845,805.1429443359375
1750105010.235,18958,759.7445068359375
1750105155.382346,19116,751.7017822265625
1750105210.3847008,19169,503.543701171875
1750105309.6783013,19271,599.96142578125
1750105544.0986116,19531,423.5272216796875
1750105639.9329956,19640,629.7619018554688
1750105653.0546343,19654,837.42431640625
1750105719.806798,19731,626.6242065429688
1750105826.646369,19846,714.87744140625
1750105908.673849,19938,511.6253662109375
1750105959.4707415,19995,776.9437866210938
1750105992.4258623,20035,633.5059814453125
1750106007.735392,20053,540.3333740234375
1750106017.111163,20062,198.28892517089844
1750106087.2488334,20138,538.34521484375
1750106185.443211,20244,945.563232421875
1750106188.5866213,20247,617.8370971679688
1750106193.4889739,20252,591.3067626953125
1750106257.6164074,20323,496.273681640625
1750106362.1832702,20440,497.19903564453125
1750106403.6411643,20485,482.2235107421875
1750106451.999348,20539,918.4722290039062
1750106452.9219522,20540,596.8449096679688
1750106473.2316742,20562,616.3949584960938
1750106489.825018,20578,648.7777099609375
1750106668.5070026,20779,540.474609375
1750106671.164774,20782,770.8138427734375
1750106722.1620035,20831,347.60504150390625
1750106745.4027302,20855,618.535888671875
1750106950.209137,21080,667.85791015625
1750107004.0592127,21144,1063.354736328125
1750107063.9023895,21209,810.7783203125
1750107087.7910476,21232,802.514892578125
1750107160.1760879,21316,640.4325561523438
1750107162.3442597,21319,717.0858764648438
1750107166.850626,21324,602.101806640625
1750107229.1994357,21391,728.5372314453125
1750107246.142447,21409,770.6790771484375
1750107349.0797606,21523,691.8189086914062
1750107500.1720634,21681,485.19586181640625
1750107611.2414377,21795,374.107421875
1750107635.290898,21821,497.6581115722656
