Wall time,Step,Value
1746002195.0347402,9,0.0
1746002208.539031,83,0.0
1746002209.4751956,88,0.0
1746002210.4815946,93,0.0
1746002211.4938035,98,0.0
1746002212.0236838,101,0.0
1746002213.038508,106,0.0
1746002213.2292438,107,0.0
1746002213.433889,108,0.0
1746002213.7280786,109,0.0
1746002214.0770211,111,0.0
1746002214.2879815,112,0.0
1746002214.5051484,113,0.0
1746002214.764853,114,0.0
1746002216.024944,120,0.0
1746002216.3463914,122,0.0
1746002216.7142925,124,0.0
1746002217.1460578,126,0.0
1746002217.4491837,127,0.0
1746002218.8707175,134,0.0
1746002220.111044,141,0.0
1746002221.6001282,149,0.0
1746002226.5448055,172,0.0
1746002230.9337933,190,0.0
1746002232.6400528,198,0.0
1746002234.2947378,205,0.0
1746002236.3073063,214,0.0
1746002238.1290174,222,0.0
1746002241.3578684,236,0.0
1746002242.6897292,241,0.0
1746002245.830258,254,0.0
1746002248.2259092,264,0.0
1746002249.8791187,271,0.0
1746002254.772868,293,0.0
1746002257.4004877,304,0.0
1746002260.376305,315,0.0
1746002261.9481952,322,0.0
1746002263.4567258,328,0.0
1746002266.0184882,339,0.0
1746002268.5785685,349,0.0
1746002270.8549633,358,0.0
1746002274.0911262,371,0.0
1746002276.228341,380,0.0
1746002295.4743116,446,0.0
1746002311.127685,508,0.0
1746002334.6641567,591,0.0
1746002338.4102135,606,0.0
1746002342.3103619,621,0.0
1746002348.7630363,646,0.0
1746002364.330411,704,0.0
1746002383.8426323,778,0.0
1746002388.2953503,796,0.0
1746002394.2736104,819,0.0
1746002404.6656156,857,0.0
1746002407.0263298,867,0.0
1746002410.5316439,880,0.0
1746002412.5279713,888,0.0
1746002415.938331,902,0.0
1746002419.110411,914,0.0
1746002432.6498437,964,0.0
1746002443.0196283,996,0.0
1746002485.7260244,1098,0.0
1746002534.4408379,1179,0.0
1746002550.6356626,1201,0.0
1746002669.2055585,1345,0.0
1746002697.3458114,1382,0.0
1746002711.1838686,1401,0.0
1746002732.4618828,1429,0.0
1746002753.5115016,1457,0.0
1746002767.4817202,1476,0.0
1746002779.9578025,1493,0.0
1746002797.4995182,1517,0.0
1746002811.834955,1537,0.0
1746002837.4623451,1573,0.0
1746002885.4704792,1640,0.0
1746002954.9205425,1734,0.0
1746003081.1174781,1901,0.0
1746003134.6972785,1972,0.0
1746003159.1948519,2007,0.0
1746003178.528608,2033,0.0
1746003383.2150543,2312,0.0
1746003452.5712113,2406,0.0
1746003530.9512303,2515,0.0
1746003589.9736543,2597,0.0
1746003625.8759344,2648,0.0
1746003666.2540476,2706,0.0
1746003741.3794336,2811,0.0
1746003758.1387672,2835,0.0
1746003787.4587128,2874,0.0
1746003816.2470276,2911,0.0
1746003873.9070094,2976,0.0
1746003895.7678678,2999,0.0
1746003932.826067,3035,0.0
1746004008.679699,3105,0.0
1746004107.682595,3188,0.0
1746004211.0841188,3271,0.0
1746004305.0963585,3349,0.0
1746004419.7655857,3444,0.0
