Wall time,Step,Value
1746002235.5187502,42,-293681.15625
1746002247.811944,94,-220073.6875
1746002265.260237,167,-201772.875
1746002280.7954712,229,-154937.8125
1746002282.1285875,234,-167440.59375
1746002294.250767,273,-140062.5
1746002303.2699895,310,-151559.546875
1746002305.2004328,318,-150099.515625
1746002347.8628905,474,-95721.609375
1746002364.426159,536,-89777.859375
1746002375.0873413,579,-82145.3671875
1746002377.0663974,586,-72545.0546875
1746002389.7868674,634,-68730.140625
1746002393.3441112,647,-63985.72265625
1746002411.2013984,714,-55505.53125
1746002436.3946393,808,-47147.66796875
1746002536.4949791,1014,-38694.2265625
1746002576.6015506,1066,-37104.55859375
1746002785.9483528,1333,-22122.34375
1746002789.0267096,1337,-21788.00390625
1746002823.566861,1385,-19934.05078125
1746002828.4034204,1392,-21786.564453125
1746002859.696956,1436,-20457.41015625
1746003050.0222468,1691,-14788.4736328125
1746003082.3846304,1734,-12622.85546875
1746003084.3887248,1737,-13955.14453125
1746003186.9082108,1877,-12498.158203125
1746003215.40809,1917,-11674.94921875
1746003303.7036765,2036,-10219.732421875
1746003348.4898477,2096,-9602.6376953125
1746003423.9547892,2199,-9533.78515625
1746003469.9700716,2262,-8281.060546875
1746003502.770468,2307,-8247.5126953125
1746003561.5104113,2389,-7989.7431640625
1746003595.1121037,2436,-6441.3212890625
1746003629.7405558,2485,-6671.83447265625
1746003630.3136866,2486,-6965.60888671875
1746003638.7929692,2498,-7053.64208984375
1746003662.580962,2532,-5739.33056640625
1746003772.1240385,2685,-5577.275390625
1746003814.4242861,2740,-4876.2275390625
1746004129.6091752,3038,-4865.69384765625
1746004363.9130054,3230,-3821.140625
1746004383.6608682,3246,-4022.14892578125
1746004454.1755414,3305,-3467.0869140625
1746004828.2993455,3618,-3588.8623046875
1746004830.5411339,3620,-3862.646484375
1746004892.904918,3670,-3595.06884765625
1746004977.7538767,3741,-3760.302001953125
1746005063.3967586,3814,-3546.62109375
1746005071.611084,3821,-3678.56640625
1746005199.3342266,3928,-3653.283935546875
1746005231.5837278,3956,-3490.147705078125
1746005325.3920572,4036,-3916.01416015625
1746005516.4542022,4196,-3989.56494140625
1746005662.323314,4317,-4170.703125
1746005762.1000853,4400,-4895.861328125
1746005874.5057585,4492,-4669.9150390625
1746005896.2320838,4509,-4572.8212890625
1746006105.5815718,4676,-6247.9287109375
1746006236.3722816,4788,-8221.6435546875
1746006459.8360996,4971,-9779.751953125
1746006617.2190852,5106,-8412.00390625
