Wall time,Step,Value
1746002235.5348349,42,1058571520.0
1746002247.8284674,94,178247744.0
1746002265.2781243,167,352117120.0
1746002280.8133194,229,68412976.0
1746002282.150348,234,131701976.0
1746002294.2675734,273,79186928.0
1746002303.2868643,310,94739656.0
1746002305.2157245,318,84383472.0
1746002347.8795688,474,34302640.0
1746002364.4432745,536,21868752.0
1746002375.1048868,579,31049186.0
1746002377.0822117,586,20922806.0
1746002389.8036015,634,11820659.0
1746002393.3620179,647,20106154.0
1746002411.2172308,714,13405022.0
1746002436.4132428,808,9256709.0
1746002536.5307875,1014,8249422.5
1746002576.6165817,1066,9564446.0
1746002785.9845893,1333,2898415.5
1746002789.0666158,1337,3090866.25
1746002823.5993063,1385,2261426.5
1746002828.4358413,1392,1907217.75
1746002859.7293298,1436,2122096.25
1746003050.054678,1691,1913153.375
1746003082.4208946,1734,1557616.75
1746003084.4247394,1737,1692165.5
1746003186.9409187,1877,740037.5
1746003215.4407618,1917,618487.8125
1746003303.7363122,2036,580178.25
1746003348.524083,2096,508271.4375
1746003423.9912455,2199,625314.75
1746003470.0027401,2262,463851.125
1746003502.807071,2307,353586.0
1746003561.5470676,2389,625953.375
1746003595.148511,2436,368577.34375
1746003629.7732067,2485,286047.9375
1746003630.3463478,2486,515101.1875
1746003638.8331797,2498,518215.375
1746003662.614448,2532,313267.78125
1746003772.1607246,2685,226106.859375
1746003814.4593441,2740,280076.1875
1746004129.703565,3038,241559.0
1746004363.9858449,3230,153956.296875
1746004383.7320974,3246,189083.96875
1746004454.2466488,3305,276098.25
1746004828.37141,3618,134692.34375
1746004830.6162531,3620,171239.9375
1746004892.9860568,3670,119292.328125
1746004977.8436148,3741,105902.140625
1746005063.4722574,3814,158619.84375
1746005071.6918519,3821,140043.0
1746005199.4144285,3928,145831.96875
1746005231.6649702,3956,256727.5625
1746005325.4870648,4036,138889.75
1746005516.527192,4196,164245.78125
1746005662.4036684,4317,290086.625
1746005762.1803982,4400,246045.609375
1746005874.581647,4492,286521.125
1746005896.312248,4509,427340.6875
1746006105.6631498,4676,713639.875
1746006236.4530754,4788,896497.0
1746006459.9113452,4971,1013573.125
1746006617.26284,5106,307131.96875
1746006648.783802,5134,451062.34375
1746006893.9500935,5345,333428.5625
1746006910.2283587,5359,286861.9375
1746007136.4577813,5549,104020.21875
1746007286.3043087,5679,64261.73828125
1746007337.1889412,5723,152210.90625
1746007436.3085058,5808,76928.171875
1746007498.9595346,5864,81422.953125
1746007507.2891083,5871,34796.97265625
1746007549.6231422,5907,52348.75
1746007649.0420456,5990,37611.6875
1746007891.8955338,6200,26920.015625
1746007914.0127728,6219,37418.96484375
1746007994.7349665,6289,12978.109375
1746008322.7784111,6574,12299.9609375
1746008357.1937425,6603,8094.267578125
1746008470.5552619,6699,6820.06103515625
1746008484.420264,6711,8098.197265625
1746008651.606609,6854,10154.1640625
1746008782.6546438,6966,7353.1611328125
1746008999.0373456,7155,5670.71435546875
1746009252.7275395,7382,4095.496337890625
1746009340.1836379,7460,6139.39404296875
1746009343.8368163,7463,6068.78271484375
1746009396.6792412,7511,5433.7275390625
1746009703.0189424,7788,5928.7666015625
1746009714.035393,7798,7807.92138671875
1746009752.4677224,7833,7500.9375
1746009927.8030891,7991,6546.4072265625
1746010011.0142667,8066,9099.455078125
1746010138.6681087,8180,7784.4130859375
1746010186.3422582,8221,4500.4619140625
1746010343.8877256,8363,5035.0615234375
1746010359.1847212,8377,5721.50537109375
1746010490.8939066,8498,5179.2822265625
1746010501.2117143,8508,6206.900390625
1746010603.415355,8601,6621.595703125
