Wall time,Step,Value
1746002295.7353458,42,868.6961059570312
1746002296.7685065,45,808.9103393554688
1746002305.8741093,71,759.3715209960938
1746002313.9717646,94,510.18035888671875
1746002339.6141803,167,1195.7841796875
1746002361.6625519,229,370.39996337890625
1746002363.446566,234,243.77906799316406
1746002370.9186182,255,652.2877197265625
1746002377.3397796,273,484.63726806640625
1746002389.712076,308,559.286376953125
1746002390.4176965,310,739.4998779296875
1746002393.2613091,318,1623.7308349609375
1746002455.6037707,474,1110.361572265625
1746002504.599877,536,335.4373779296875
1746002576.104941,579,426.41375732421875
1746002594.522659,586,512.2178955078125
1746002724.3815134,634,511.6993103027344
1746002758.4227595,647,322.96923828125
1746002931.843971,714,369.63427734375
1746002953.4558976,722,662.485107421875
1746003121.4891667,785,238.03732299804688
1746003165.4796302,802,222.58413696289062
1746003180.9204047,808,395.04840087890625
1746003252.9215572,836,262.5381774902344
1746003603.6145108,971,2116.58837890625
1746003712.7628593,1014,2658.854248046875
1746003868.64073,1066,3163.753662109375
1746004068.5383584,1104,3978.36376953125
1746004558.6501133,1180,2281.8154296875
1746005079.640718,1261,3667.83056640625
1746005428.2509606,1316,53696.68359375
1746005446.0808527,1319,1765.8004150390625
1746005534.9611566,1333,2062.673583984375
1746005561.7115202,1337,1788.8162841796875
1746005875.8539014,1385,2062.00634765625
1746005925.478895,1392,52909.14453125
1746006212.7778585,1436,3510.020263671875
1746006410.7719085,1466,53668.265625
1746006945.4990191,1552,2618.1572265625
1746007148.124272,1584,1267.068359375
1746007802.0173569,1691,1962.5712890625
1746008058.833978,1734,2523.594482421875
1746008076.7922173,1737,1530.8736572265625
1746008732.584187,1844,3318.829345703125
1746008925.0658903,1877,7404.22021484375
1746009155.459298,1917,62518.453125
1746009326.578275,1947,74794.5625
1746009817.544324,2036,6106.93115234375
1746010167.1558404,2096,8702.888671875
1746010678.7264087,2187,27528.9609375
1746010743.159602,2199,42560.52734375
1746010916.0972536,2231,79953.953125
1746011080.4669256,2262,26877.328125
1746011307.0799143,2307,14682.1796875
1746011727.8974624,2389,22917.1484375
1746011963.9356925,2436,24167.43359375
1746012053.0781965,2453,46114.25
1746012063.77456,2455,33166.72265625
1746012090.8166394,2460,62458.75
1746012218.0122504,2485,51182.0234375
1746012223.080213,2486,85447.609375
1746012282.4750504,2498,64785.6640625
1746012308.853187,2503,94711.203125
1746012461.770114,2532,40785.21875
1746013253.0635276,2685,39766.203125
1746013540.073682,2740,63492.33984375
1746014722.3818634,2967,26375.41796875
1746015090.530996,3038,57588.3828125
1746015106.0856538,3041,62999.8046875
1746015734.1059163,3161,10365.45703125
1746016087.9252985,3230,94617.953125
1746016170.7707264,3246,29966.96484375
1746016175.8458276,3247,48892.140625
1746016465.1768122,3305,55067.56640625
1746017397.1892605,3480,36011.89453125
1746018144.6850529,3618,74024.1484375
1746018155.0511801,3620,23104.26953125
1746018436.333577,3670,37207.7890625
1746018822.9712446,3741,20397.21484375
1746019210.569748,3814,70477.4921875
1746019246.8181436,3821,548.802490234375
1746019794.824432,3928,4497.30322265625
1746019936.381743,3956,13666.857421875
1746020353.613046,4036,51540.74609375
1746020661.680134,4098,42238.7109375
1746021140.2707267,4196,11485.376953125
1746021309.9202886,4232,31309.44921875
1746021730.0875175,4317,35057.625
1746022131.3647416,4400,3203.18408203125
1746022564.5008605,4492,28038.19921875
1746022642.7376335,4509,4795.4521484375
1746022739.727613,4530,14154.6875
1746023357.4073043,4664,9725.66015625
1746023376.4498413,4668,47479.171875
1746023413.8857417,4676,1097.3126220703125
1746023964.8020859,4788,54278.859375
1746024036.1303828,4802,22966.30859375
1746024219.0964932,4840,8568.791015625
1746024477.6379182,4894,3902.9501953125
1746024847.6867228,4971,4032.477294921875
1746025221.010865,5050,4825.96875
1746025230.7292128,5052,29226.75390625
1746025485.04185,5106,77756.1796875
1746025617.131685,5134,24844.08203125
1746026629.502358,5345,3152.845703125
1746026692.7740533,5359,39464.01953125
1746026975.172585,5420,15463.8212890625
1746027568.475366,5549,3939.4677734375
1746028155.45895,5679,46493.9140625
1746028352.197561,5723,13585.2578125
1746028722.3743236,5808,16616.3671875
1746028966.5721269,5864,30340.96484375
1746028995.8618495,5871,7086.54638671875
1746029149.344042,5907,9304.7646484375
1746029501.0872726,5990,19865.01953125
1746029587.8807662,6010,3300.156005859375
1746030096.1822777,6131,39341.2265625
1746030352.8904567,6200,29671.32421875
1746030399.820226,6213,14621.4375
1746030421.1009426,6219,9545.4306640625
1746030661.8274841,6289,7158.45458984375
1746030741.6260953,6312,47178.2421875
1746030980.2852354,6376,4535.2041015625
1746031573.572583,6520,4658.6142578125
1746031799.0819976,6574,13775.251953125
1746031916.7746499,6603,2412.205078125
1746032297.9615064,6696,63957.41015625
1746032310.0769098,6699,17055.048828125
1746032357.5257132,6711,11126.0390625
1746032901.7470837,6854,6740.068359375
1746033353.7477074,6966,3812.045654296875
1746033455.8932176,6992,13464.3740234375
1746033936.0552073,7114,2079.72412109375
1746034098.9603798,7155,84450.84375
1746034691.129956,7311,7769.2734375
1746034961.344885,7382,3238.818115234375
1746035216.8001616,7450,39267.046875
1746035254.6909518,7460,38914.96484375
1746035265.8807364,7463,5312.89404296875
1746035321.9925363,7478,11069.57421875
1746035445.8789015,7511,13476.30078125
1746036130.0253031,7693,36945.6875
1746036473.4011047,7788,2625.91552734375
1746036508.154312,7798,15697.083984375
1746036629.4091008,7833,7441.77978515625
1746037214.3473122,7991,1383.5933837890625
1746037485.5167956,8066,7611.587890625
1746037891.6898658,8180,17939.7734375
1746038027.9943285,8221,13103.8203125
1746038512.4843388,8363,4040.5166015625
1746038529.5147257,8368,1842.851806640625
1746038560.4525986,8377,34569.3515625
1746038880.3439572,8470,2092.5712890625
1746038976.1441202,8498,14511.255859375
1746039010.7798548,8508,13554.595703125
1746039323.6559591,8601,12861.7158203125
1746039441.2807808,8635,7274.54248046875
1746039642.3013527,8695,3006.54345703125
1746040247.8199508,8878,1177.336181640625
1746040331.9430683,8904,819.5786743164062
1746040342.1852398,8907,693.2384643554688
1746040412.079868,8928,644.9257202148438
1746040435.05329,8935,516.1784057617188
1746040624.4161568,8993,850.4122314453125
1746040834.964865,9055,16997.994140625
1746041508.643084,9260,13667.3994140625
1746041689.0953076,9316,1021.9705810546875
1746041792.185147,9348,14976.451171875
1746042071.1998174,9435,7088.25439453125
1746042175.4885879,9468,8170.68359375
1746042441.1223958,9554,10144.5009765625
1746042481.232341,9567,2015.0274658203125
1746042772.0543244,9657,1472.41845703125
1746042846.0544355,9680,14756.90234375
1746042904.796339,9698,4163.955078125
1746043359.3342981,9843,984.293701171875
1746043565.5379164,9907,6290.923828125
1746044058.5347266,10058,9971.244140625
1746044145.598256,10084,8614.466796875
1746044779.7058926,10276,4734.173828125
1746044802.2942235,10283,12869.283203125
1746045173.393701,10399,2294.483642578125
1746045419.9501688,10479,36150.890625
1746045554.7890325,10522,13507.6318359375
1746045823.2463403,10607,29190.669921875
1746045984.6463897,10638,6530.294921875
1746046072.9479778,10654,1248.9345703125
1746046413.1780179,10711,1439.2398681640625
1746046697.3131018,10757,535.0257568359375
1746046703.857172,10758,1853.63232421875
1746046842.7886932,10780,30727.154296875
1746047226.2586052,10841,4517.52099609375
1746047282.9997578,10850,1428.504638671875
1746047608.4167137,10902,1418.736083984375
1746047626.9442022,10905,812.5081176757812
1746047860.3479545,10943,915.689697265625
1746047999.1139495,10966,1727.739013671875
1746048036.355464,10972,3269.01904296875
1746048048.2621663,10974,506.24420166015625
1746048335.36544,11020,687.9539794921875
1746048847.6981945,11102,1385.16064453125
1746048965.2331297,11121,1961.511474609375
