Wall time,Step,Value
1745999228.9084978,37,0.0
1745999245.5853996,82,0.0
1745999274.5468585,162,0.0
1745999305.8322732,251,0.0
1745999314.9632215,276,0.0
1745999316.0823085,279,0.0
1745999319.0025935,287,0.0
1745999320.092791,290,0.0
1745999323.0025525,299,0.0
1745999323.7835906,301,0.0
1745999324.11859,302,0.0
1745999326.0609407,308,0.0
1745999327.5520809,312,0.0
1745999328.2910812,314,0.0
1745999329.3391938,317,0.0
1745999330.0522797,319,0.0
1745999330.378373,320,0.0
1745999330.826532,321,0.0
1745999331.5975325,324,0.0
1745999338.1672347,343,0.0
1745999340.2134805,349,0.0
1745999345.665998,365,0.0
1745999362.46849,407,0.0
1745999384.7621243,463,0.0
1745999388.1979744,472,0.0
1745999389.8892188,476,0.0
1745999397.4624708,495,0.0
1745999400.324925,503,0.0
1745999402.6264956,509,0.0
1745999405.0880888,515,0.0
1745999406.6796606,519,0.0
1745999409.0741735,525,0.0
1745999416.3899567,544,0.0
1745999424.6677558,565,0.0
1745999432.8456292,586,0.0
1745999439.6293266,603,0.0
1745999441.3194056,607,0.0
1745999443.9848433,614,0.0
1745999448.3664525,626,0.0
1745999452.6747894,637,0.0
1745999458.5640225,653,0.0
1745999466.2487767,673,0.0
1745999482.289947,715,0.0
1745999487.7805188,729,0.0
1745999501.6203198,764,0.0
1745999508.232662,782,0.0
1745999570.3862793,941,0.0
1745999579.4820178,964,0.0
1745999582.848424,973,0.0
1745999586.4748132,983,0.0
1745999622.5352402,1076,0.0
1745999628.1827369,1090,0.0
1745999645.1054177,1135,0.0
1745999662.406031,1179,0.0
1745999671.8325968,1204,0.0
1745999683.9357693,1235,0.0
1745999697.837018,1272,0.0
1745999709.744735,1304,0.0
1745999722.4976785,1337,0.0
1745999729.4006057,1355,0.0
1745999740.3219209,1383,0.0
1745999748.1814935,1403,0.0
1745999769.1121962,1459,0.0
1745999780.8955142,1489,0.0
1745999786.7348437,1504,0.0
1745999794.7912884,1525,0.0
1745999803.4392314,1547,0.0
1745999809.8893323,1564,0.0
1745999821.6022503,1595,0.0
1745999833.0485039,1625,0.0
1745999852.1133876,1676,0.0
1745999864.5819163,1708,0.0
1745999874.801314,1734,0.0
1745999880.7243803,1750,0.0
1745999901.7387414,1804,0.0
1745999916.2440095,1843,0.0
1745999928.0479014,1874,0.0
1745999932.027814,1884,0.0
1745999979.6277413,2010,0.0
1745999994.3143299,2047,0.0
1746000005.559844,2076,0.0
1746000017.5999858,2109,0.0
1746000056.2581055,2215,0.0
1746000066.9051647,2242,0.0
1746000075.997298,2266,0.0
1746000150.342807,2461,0.0
1746000159.9839673,2483,0.0
1746000169.9014845,2509,0.0
1746000180.8160195,2537,0.0
1746000194.367979,2573,0.0
1746000216.425589,2631,0.0
1746000229.9282987,2666,0.0
1746000238.8655972,2689,0.0
1746000251.5991838,2722,0.0
1746000303.1173503,2861,0.0
1746000312.9325185,2886,0.0
1746000326.5451682,2923,0.0
1746000343.3705482,2966,0.0
1746000367.9691522,3030,0.0
1746000390.3777463,3090,0.0
1746000424.7304738,3183,0.0
1746000442.372635,3228,0.0
1746000450.919818,3250,0.0
1746000462.6194015,3280,0.0
1746000491.6653152,3356,0.0
1746000532.0150104,3460,0.0
1746000573.245724,3566,0.0
1746000605.8898551,3650,0.0
1746000616.8885148,3679,0.0
1746000626.3674033,3704,0.0
1746000646.516194,3759,0.0
1746000664.3276308,3804,0.0
1746000670.3965578,3820,0.0
1746000682.4419117,3851,0.0
1746000703.2735717,3904,0.0
1746000734.7810965,3989,0.0
1746000758.9755518,4052,0.0
1746000774.3277087,4092,0.0
1746000785.434656,4122,0.0
1746000793.6589713,4144,0.0
1746000809.8547852,4187,0.0
1746000860.8683684,4316,0.0
1746000909.3884761,4444,0.0
1746000930.4844081,4499,0.0
1746000954.833832,4562,0.0
1746000976.7917309,4619,0.0
1746000996.9778528,4674,0.0
1746001027.0153728,4751,0.0
1746001059.6004207,4840,0.0
1746001072.488571,4874,0.0
1746001087.596656,4913,0.0
1746001103.0823123,4953,0.0
1746001116.4178905,4988,0.0
1746001143.973255,5062,0.0
1746001156.2287626,5094,0.0
1746001171.5161197,5136,0.0
1746001180.9297156,5160,0.0
1746001210.3549082,5235,0.0
1746001234.2727456,5297,0.0
1746001244.8386934,5324,0.0
1746001313.1523798,5500,0.0
1746001351.5279462,5596,0.0
1746001359.740217,5618,0.0
1746001403.0577798,5731,0.0
1746001434.3998833,5813,0.0
1746001457.8016186,5872,0.0
1746001525.0735517,6046,0.0
1746001574.037248,6169,0.0
1746001585.6603143,6200,0.0
1746001600.333279,6239,0.0
1746001635.3499463,6329,0.0
