Wall time,Step,Value
1745999378.7587717,42,36.57308578491211
1745999381.1920128,45,116.50804138183594
1745999401.414116,71,66.97126007080078
1745999419.2963421,94,125.25314331054688
1745999468.7669857,158,134.22918701171875
1745999475.6883738,167,134.63140869140625
1745999523.57792,229,132.60101318359375
1745999527.4554126,234,129.45223999023438
1745999544.0884118,255,124.79194641113281
1745999558.193973,273,122.58479309082031
1745999585.2796342,308,126.85252380371094
1745999586.8278124,310,127.52848815917969
1745999593.0930524,318,125.00982666015625
1745999672.6375704,421,128.42835998535156
1745999702.2570665,460,131.91705322265625
1745999712.792273,474,131.27716064453125
1745999760.438096,536,135.68389892578125
1745999781.126514,563,137.49844360351562
1745999793.5999923,579,133.04629516601562
1745999798.9465368,586,136.40081787109375
1745999835.57592,634,136.72711181640625
1745999845.3662407,647,139.7508087158203
1745999856.02496,661,138.094970703125
1745999863.730867,671,120.8983154296875
1745999897.01899,714,128.2252197265625
1745999903.1929598,722,128.50308227539062
1745999940.177867,771,134.39093017578125
1745999950.9053028,785,138.32559204101562
1745999952.4828012,787,136.35418701171875
1745999963.680147,802,134.83026123046875
1745999968.2305648,808,134.47962951660156
1745999989.9766896,836,142.38824462890625
1746000071.4705174,945,141.5069580078125
1746000091.3183494,971,151.44239807128906
1746000117.1434934,1005,150.09750366210938
1746000123.8897219,1014,145.9975128173828
1746000162.4687364,1063,148.83636474609375
1746000164.7681532,1066,152.581298828125
1746000193.7978427,1104,160.47328186035156
1746000252.3172152,1180,167.66204833984375
1746000312.7615182,1261,169.6519775390625
1746000354.6749084,1316,162.78787231445312
1746000356.9672976,1319,144.07566833496094
1746000367.8048742,1333,166.87887573242188
1746000370.8227687,1337,134.68856811523438
1746000406.4239702,1385,144.168701171875
1746000411.5356472,1392,153.3153839111328
1746000437.512845,1426,141.45790100097656
1746000445.3859007,1436,155.5684051513672
1746000468.6143715,1466,160.86273193359375
1746000487.8683794,1491,157.51358032226562
1746000512.5653174,1523,164.6082000732422
1746000534.8869941,1552,177.0019073486328
1746000547.1825418,1568,182.95652770996094
1746000559.7383988,1584,152.42457580566406
1746000576.2874835,1605,147.79843139648438
1746000603.3692143,1640,166.10585021972656
1746000641.8544238,1691,143.45379638671875
1746000655.544384,1709,179.8375701904297
1746000662.6295755,1718,151.8441162109375
1746000673.4005067,1732,172.47659301757812
1746000674.9171426,1734,190.27642822265625
1746000677.325684,1737,154.27786254882812
1746000711.1772447,1781,177.84397888183594
1746000758.8745508,1844,194.5010986328125
1746000765.7412424,1853,144.48147583007812
1746000775.673522,1866,144.4686279296875
1746000777.9683456,1869,173.07858276367188
1746000783.7740507,1877,205.72467041015625
1746000814.1075191,1917,146.49130249023438
1746000827.6128047,1934,179.73904418945312
1746000838.0760498,1947,205.1103057861328
1746000879.9839988,2001,187.93380737304688
1746000906.1962273,2036,200.9339599609375
1746000937.7206295,2077,206.98626708984375
1746000952.4237602,2096,188.8358612060547
1746001021.7639081,2187,254.39781188964844
1746001030.877409,2199,256.241455078125
1746001039.52361,2211,264.8448486328125
1746001054.3478708,2231,273.8694763183594
1746001057.9937496,2236,279.097900390625
1746001058.6869504,2237,271.7339782714844
1746001073.9996943,2257,272.3319091796875
1746001077.8218713,2262,277.46575927734375
1746001112.4091835,2307,270.0625
1746001121.5045235,2319,272.25274658203125
1746001147.671066,2354,267.29632568359375
1746001173.8059788,2389,263.1138916015625
