Wall time,Step,Value
1745999205.8909092,27,0.0
1745999212.4852219,79,0.0
1745999212.9615307,82,0.0
1745999214.55129,90,0.0
1745999216.1373568,99,0.0
1745999216.4538753,100,0.0
1745999216.639875,101,0.0
1745999217.6610558,107,0.0
1745999218.0701115,109,0.0
1745999218.9802444,113,0.0
1745999220.073813,118,0.0
1745999221.4686308,123,0.0
1745999222.4274485,127,0.0
1745999225.188734,137,0.0
1745999230.2298148,156,0.0
1745999231.9906178,163,0.0
1745999232.7958086,166,0.0
1745999234.2634923,173,0.0
1745999234.989817,175,0.0
1745999235.3128164,177,0.0
1745999239.8901632,195,0.0
1745999242.650861,206,0.0
1745999246.572014,223,0.0
1745999251.0389283,243,0.0
1745999254.2694623,258,0.0
1745999256.080795,266,0.0
1745999260.640214,283,0.0
1745999262.9175038,292,0.0
1745999264.3785484,298,0.0
1745999267.0408247,309,0.0
1745999269.330301,318,0.0
1745999271.0936048,325,0.0
1745999275.3169332,343,0.0
1745999282.684623,371,0.0
1745999285.239992,380,0.0
1745999287.5463548,387,0.0
1745999288.9517832,393,0.0
1745999291.3251967,401,0.0
1745999294.5197246,415,0.0
1745999296.290804,422,0.0
1745999299.2802866,433,0.0
1745999316.408369,491,0.0
1745999320.4379086,508,0.0
1745999323.9275908,522,0.0
1745999329.463279,544,0.0
1745999340.0244806,584,0.0
1745999343.492771,597,0.0
1745999345.9460783,607,0.0
1745999350.0856805,622,0.0
1745999353.226,633,0.0
1745999355.6211655,642,0.0
1745999360.1198847,660,0.0
1745999368.035562,686,0.0
1745999372.5379543,701,0.0
1745999381.0220132,729,0.0
1745999383.9257104,741,0.0
1745999386.4608302,751,0.0
1745999394.7249,779,0.0
1745999395.7292452,783,0.0
1745999401.439208,803,0.0
1745999429.5313294,906,0.0
1745999433.5398545,921,0.0
1745999445.6749825,967,0.0
1745999458.4170227,1016,0.0
1745999462.4944677,1032,0.0
1745999469.1580544,1060,0.0
1745999488.9155943,1125,0.0
1745999503.7977338,1178,0.0
1745999506.4166048,1188,0.0
1745999509.3837957,1199,0.0
1745999521.1345866,1250,0.0
1745999530.1439314,1279,0.0
1745999539.936571,1315,0.0
1745999554.9935389,1365,0.0
1745999564.2688801,1400,0.0
1745999567.282044,1412,0.0
1745999595.514223,1507,0.0
1745999600.1212766,1524,0.0
