Wall time,Step,Value
1745999268.2829714,18,302663.625
1745999280.3403995,42,258131.78125
1745999281.8614795,45,250034.46875
1745999295.6587257,71,238131.28125
1745999308.3748584,94,230462.484375
1745999342.453685,158,221500.03125
1745999347.24226,167,221122.5
1745999382.5884514,229,193608.90625
1745999385.124214,234,194236.21875
1745999396.9003727,255,189023.65625
1745999406.59266,273,182573.953125
1745999425.7829256,308,161907.71875
1745999427.0342531,310,154185.046875
1745999431.6561277,318,179255.8125
1745999487.2975183,421,140007.15625
1745999509.0157957,460,138686.328125
1745999515.6108747,474,148685.171875
1745999550.1412196,536,128571.859375
1745999565.0969307,563,135661.28125
1745999573.4775403,579,132691.046875
1745999577.8638911,586,121306.9453125
1745999578.4448912,587,131453.5
1745999605.6744525,634,113691.2109375
1745999613.3463173,647,123271.84375
1745999621.7551072,661,118074.15625
1745999627.4815834,671,117407.71875
1745999652.25423,714,114393.078125
1745999656.6047556,722,115578.75
1745999682.7836902,765,111198.484375
1745999686.6413348,771,110716.296875
1745999695.7102664,785,109888.703125
1745999697.0638123,787,96260.546875
1745999705.3768544,802,98527.0390625
1745999709.249678,808,95978.96875
1745999726.0573754,836,104520.96875
1745999790.1192338,945,90990.3125
1745999804.8365016,971,89701.4296875
1745999805.3145015,972,80514.0
1745999808.6512053,978,80126.6875
1745999824.368074,1005,84492.28125
1745999829.542219,1014,77046.34375
1745999857.3203647,1063,72100.140625
1745999859.264176,1066,73455.0703125
1745999874.2061613,1093,76019.796875
1745999881.1856298,1104,70251.796875
1745999915.5550094,1161,66187.34375
1745999927.5939014,1180,68664.4140625
1745999977.5243094,1261,59450.68359375
1746000006.799896,1316,56348.015625
1746000008.6564534,1319,57240.7109375
1746000016.5548196,1333,56329.6484375
1746000018.303188,1337,55262.4765625
1746000043.7438824,1385,58091.0390625
1746000047.6606824,1392,53222.66015625
1746000059.4568589,1414,51889.68359375
1746000065.4030097,1426,51144.0859375
1746000070.921366,1436,54197.2109375
1746000086.0384297,1466,53069.01171875
1746000092.2132356,1477,53426.08203125
1746000098.7583134,1491,48144.48046875
1746000116.4502254,1523,46766.765625
1746000134.9617052,1552,45579.36328125
1746000145.153663,1568,47556.12109375
1746000154.988949,1584,44186.69921875
1746000157.3700752,1588,47040.84375
1746000167.16995,1605,47791.49609375
1746000188.307442,1640,39570.171875
1746000217.8518484,1691,43027.3203125
1746000227.498284,1709,43156.14453125
1746000232.3464925,1718,40649.03125
1746000239.1086643,1732,39825.09375
1746000240.0696652,1734,39708.81640625
1746000241.6230125,1737,37981.6953125
1746000264.9278793,1781,35474.03515625
1746000291.0816314,1826,36038.1015625
1746000302.0583506,1844,38037.1875
1746000307.064155,1853,33666.15625
1746000314.0907135,1866,35317.2890625
1746000315.4858532,1869,33315.29296875
