Wall time,Step,Value
1745999269.7774718,42,1301670656.0
1745999270.5745373,45,3468913664.0
1745999276.9256516,71,339119712.0
1745999282.8866231,94,695155328.0
1745999302.3366272,167,819898496.0
1745999320.121791,229,301181440.0
1745999321.3792646,234,502872480.0
1745999326.716941,255,405841472.0
1745999331.0155318,273,344507456.0
1745999340.3244805,308,126377672.0
1745999340.8046844,310,87780784.0
1745999343.0096853,318,258026752.0
1745999386.6758964,474,227060928.0
1745999404.0128484,536,53308120.0
1745999414.7989557,579,109963840.0
1745999416.5339863,586,27819648.0
1745999431.0740457,634,40110024.0
1745999434.4268546,647,42977176.0
1745999440.304327,671,117462040.0
1745999452.1927893,714,160095584.0
1745999454.1277897,722,40721268.0
1745999469.917055,785,108058040.0
1745999474.66623,802,21762812.0
1745999476.635485,808,20965516.0
1745999485.4442732,836,28518360.0
1745999520.8535872,971,55780800.0
1745999533.2386634,1014,113530544.0
1745999548.2370381,1066,17364210.0
1745999559.530137,1104,113193840.0
1745999580.1510212,1180,14574484.0
1745999603.9262738,1261,29940006.0
1745999619.9170148,1316,12113947.0
1745999620.818107,1319,54610420.0
1745999624.9220293,1333,38840280.0
1745999625.9964714,1337,55957608.0
1745999639.6668708,1385,45479040.0
1745999641.5020754,1392,69978784.0
1745999654.6454637,1436,15441211.0
1745999662.730031,1466,18412272.0
1745999680.5902107,1523,27611444.0
1745999689.7589023,1552,17047514.0
1745999695.0261648,1568,16090451.0
1745999699.621474,1584,69540304.0
1745999731.448292,1691,34739624.0
1745999743.935548,1734,55640216.0
1745999744.9679546,1737,24287928.0
1745999776.5976608,1844,7628730.5
1745999782.880819,1866,43641120.0
1745999786.1776805,1877,27446666.0
1745999798.042133,1917,13539350.0
1745999802.5931678,1934,10180432.0
1745999806.4217057,1947,13838031.0
1745999831.9694462,2036,6695288.0
1745999848.835555,2096,7863299.5
1745999874.4731636,2187,23652672.0
1745999878.3350239,2199,7291369.0
1745999888.422773,2231,10737837.0
1745999897.720024,2262,5356455.0
1745999911.0379233,2307,3914101.0
1745999936.5446486,2389,5694868.5
1745999950.1130788,2436,5814912.0
1745999955.149316,2453,4071146.0
1745999955.729509,2455,3932244.75
1745999957.2506888,2460,4349181.5
1745999964.6154804,2485,4887568.0
1745999964.9044805,2486,3493296.25
1745999968.2895675,2498,2388712.5
1745999969.7639651,2503,2455023.25
1745999979.83569,2532,5737725.5
1745999983.943853,2547,2470819.0
1746000020.8335788,2685,3784613.75
1746000035.5987868,2740,4527161.5
1746000095.3710628,2967,1597622.75
1746000113.9574518,3038,3058732.5
1746000114.8990161,3041,2214039.0
1746000152.777234,3161,2651863.25
1746000173.016932,3230,2165652.0
1746000177.1386395,3244,2500986.0
1746000177.7279284,3246,1749779.625
1746000178.0409966,3247,1602379.5
1746000195.9854047,3305,2562993.0
1746000243.1362815,3480,2116142.25
1746000281.1440854,3618,1296315.625
1746000281.748213,3620,1435873.0
1746000296.3972452,3670,850660.1875
1746000316.2849321,3741,1485772.0
1746000330.3136265,3793,1386928.75
1746000336.9268355,3814,1262792.25
1746000338.9607337,3821,1148351.25
1746000366.531672,3928,1183005.875
1746000373.6267838,3956,1144771.25
1746000380.5480347,3984,1124495.0
1746000393.6733346,4036,928581.5
1746000409.9564965,4098,663395.4375
1746000436.840453,4196,923642.75
1746000445.0398998,4227,674826.875
1746000446.5105255,4232,858100.0625
1746000472.7223237,4317,774453.25
1746000473.476445,4319,309146.125
1746000496.690837,4400,815463.5625
1746000520.8067992,4492,617748.375
1746000525.7702525,4509,476496.0625
1746000531.4178858,4530,316954.75
1746000567.665064,4664,439952.9375
1746000569.035583,4668,596167.75
1746000571.543137,4676,576058.875
1746000603.7002134,4788,434372.875
1746000607.8392177,4802,290853.90625
1746000618.5821056,4840,402088.59375
1746000622.2566824,4852,435585.71875
1746000634.4506373,4894,312605.3125
1746000656.330586,4971,163534.3125
1746000680.5753527,5050,162274.875
1746000681.15253,5052,295769.5
1746000696.786836,5106,209973.234375
1746000705.275421,5134,203245.125
1746000736.7225785,5239,240264.0
1746000767.061831,5345,220518.046875
1746000770.195908,5359,150625.46875
1746000785.8036559,5420,237571.671875
1746000823.1869762,5549,182568.203125
1746000859.6320767,5679,115111.609375
1746000872.4986532,5723,117654.46875
1746000899.8046029,5808,129364.515625
1746000905.8426378,5828,176093.71875
1746000917.3745558,5864,118679.859375
1746000919.7420945,5871,94005.71875
1746000929.2716067,5907,122888.75
1746000935.6495173,5928,143332.71875
1746000953.605011,5990,79453.0390625
1746000959.7950583,6010,136091.875
1746000992.258508,6121,106038.578125
1746000995.426192,6131,82557.6796875
1746001017.0403576,6200,105861.2890625
1746001021.0157578,6213,118202.2109375
1746001022.74441,6219,62609.4921875
1746001042.283076,6289,79529.625
1746001049.252827,6312,85122.1875
1746001068.9364507,6376,97753.46875
1746001108.7610717,6520,61553.890625
1746001123.3912349,6574,50486.5
1746001132.4456909,6603,52049.03515625
1746001147.6190925,6657,60719.80078125
1746001157.6479628,6696,66275.078125
1746001158.5906053,6699,42061.6953125
1746001161.9140708,6711,88422.1875
1746001171.1961586,6742,48222.16796875
1746001201.1111836,6854,44345.7109375
1746001230.4958472,6966,39139.38671875
1746001238.1888952,6992,82367.625
1746001267.3474164,7106,23570.375
1746001269.587146,7114,26496.16796875
1746001280.5816512,7155,20919.0078125
1746001307.9815726,7247,18966.72265625
1746001323.3483467,7311,21610.7578125
1746001337.2869184,7359,21766.86328125
1746001343.256814,7382,19946.220703125
1746001361.2017498,7450,64413.1875
1746001363.6279385,7460,29888.271484375
1746001364.3793166,7463,19691.33984375
1746001368.4039896,7478,19313.93359375
1746001378.8043199,7511,13213.341796875
1746001431.397706,7693,14449.6767578125
1746001450.000379,7760,91084.59375
1746001458.1538308,7788,55848.78515625
1746001460.5571287,7798,44473.5234375
1746001469.6753604,7833,13989.63671875
1746001512.397652,7991,51078.40625
1746001532.1496906,8066,42789.4375
1746001562.8939097,8180,27994.10546875
1746001575.172597,8221,11571.0556640625
1746001616.9411094,8363,35164.4453125
1746001618.1070309,8368,18252.390625
1746001620.5890253,8377,16269.244140625
1746001647.8792005,8470,13925.9267578125
1746001655.3270257,8498,22414.56640625
1746001658.078165,8508,10596.7109375
1746001686.2797272,8601,7634.29736328125
1746001696.4391418,8635,8071.263671875
1746001713.6127765,8695,11484.9775390625
1746001771.0341766,8878,12312.431640625
1746001779.2290313,8904,7307.9033203125
1746001780.366283,8907,11849.7919921875
1746001786.146493,8928,5949.76220703125
1746001788.3372626,8935,3721.927978515625
1746001805.4082491,8993,6156.34033203125
1746001807.292155,8999,6081.64013671875
