Wall time,Step,Value
1752114368.4564805,79,0
1752114476.8456929,159,0
1752114640.3480117,277,0
1752115087.051026,574,0
1752115093.1493022,578,0
1752115102.6079102,585,0
1752115110.6855512,591,0
1752115112.0250921,592,0
1752115128.1189148,604,0
1752115149.9446113,620,0
1752115199.116448,655,0
1752115315.5554698,721,0
1752115331.7715676,730,0
1752115353.804421,742,0
1752115625.6681845,870,0
1752115652,883,0
1752115687.748917,902,0
1752115805.0976732,961,0
1752115849.3669903,984,0
1752115928.6853933,1024,0
1752115962.9177065,1041,0
1752116022.9654226,1071,0
1752116085.6309907,1102,0
1752116115.2060618,1117,0
1752116145.0624774,1132,0
1752116304.547194,1207,0
1752116350.4906416,1230,0
1752116457.7340891,1280,0
1752116517.604893,1303,0
1752116588.0584095,1335,0
1752116618.7896612,1348,0
1752116740.6252532,1390,0
1752116801.9130368,1413,0
1752116881.0713224,1443,0
1752116952.738522,1473,0
1752116997.623094,1488,0
1752117169.4447403,1550,0
1752117238.9902058,1575,0
1752117389.5142403,1622,0
1752117431.6862032,1638,0
1752117463.2662039,1650,0
1752117628.0094395,1715,0
1752117675.1950352,1732,0
1752117791.936834,1778,0
1752117972.2761683,1841,0
1752117999.5399563,1852,0
1752118111.3003333,1896,0
1752118224.6658137,1939,0
1752118311.1564298,1975,0
1752118370.2891104,1998,0
1752118413.3133013,2013,0
1752118488.1912947,2039,0
1752118528.4582262,2053,0
1752118551.9104874,2062,0
1752118641.5794172,2097,0
1752118749.5688255,2137,0
1752118819.743851,2163,0
1752118880.2872868,2187,0
1752118924.3947241,2204,0
1752119051.5112665,2242,0
1752119148.6405628,2276,0
1752119198.2333832,2294,0
1752119496.0610857,2397,0
1752119580.7002037,2429,0
1752119660.9291167,2459,0
1752119705.316625,2475,0
1752119904.5950773,2550,0
1752120201.664178,2637,0
1752120336.7104719,2676,0
1752120711.803089,2776,0
1752120798.4361165,2802,0
1752121073.749769,2877,0
1752121144.171122,2898,0
1752121406.7813213,2970,0
1752121530.9847443,3005,0
1752121617.2538607,3030,0
1752121689.077212,3051,0
1752121823.424324,3089,0
1752121964.610549,3129,0
1752122029.7036653,3148,0
1752122172.008456,3188,0
1752122308.9165707,3226,0
1752122427.1637075,3259,0
1752122561.3991857,3297,0
1752122649.6701934,3322,0
1752122822.1411588,3370,0
1752122920.2904356,3397,0
1752122992.0423892,3417,0
1752123348.4811444,3508,0
1752123707.405757,3602,0
1752123841.447943,3639,0
1752123992.5987988,3681,0
1752124169.344428,3729,0
1752124449.9688427,3802,0
1752124755.3675005,3883,0.019999999552965164
1752125092.1680412,3949,0.039999999
1752125534,4032,0.059999999
1752125733.0096803,4071,0.079999998
1752125977.4654577,4117,0.079999998
1752126254.316034,4171,0.10000000149011612
1752126486.541991,4216,0.11999999731779099
1752126951.2517238,4304,0.14000000059604645
1752127254.1260946,4361,0.1599999964237213
1752127329.3275013,4376,0.1599999964237213
1752127564.9835844,4422,0.18000000715255737
1752127757.5806773,4460,0.20000000298023224
1752128141.6724453,4534,0.2199999988079071
1752128335,4573,0.23999999463558197
1752128648.2505016,4633,0.25999999046325684
1752129210.5555308,4733,0.2800000011920929
1752129404.116468,4771,0.30000001192092896
1752129742.1605186,4835,0.3199999928474426
1752130040.8046849,4892,0.3400000035762787
1752130918.0502622,5041,0.36000001430511475
1752131113.4708662,5080,0.36000001430511475
1752131357.5606632,5129,0.3799999952316284
1752131518.723145,5162,0.4000000059604645
1752131917.940077,5239,0.41999998688697815
1752132187.589843,5292,0.41999998688697815
1752132399.0466444,5334,0.4399999976158142
1752132937.3816483,5432,0.46000000834465027
1752133072.0726433,5460,0.47999998927116394
1752133266.206619,5499,0.5
1752133475.262918,5539,0.5
1752133553.7582803,5555,0.5
1752134031.8562946,5643,0.5199999809265137
1752134247.6358736,5682,0.5400000214576721
1752134316.053234,5695,0.5400000214576721
1752134495.195762,5730,0.5600000023841858
1752135687.499769,5926,0.5799999833106995
1752135881.3324277,5965,0.6000000238418579
1752136090.3145547,6007,0.6200000047683716
1752136249.8750002,6040,0.6399999856948853
1752136520.9402676,6094,0.6600000262260437
1752136707.478843,6132,0.6800000071525574
1752137025.1786792,6195,0.699999988
1752137086.6386857,6208,0.699999988
