Wall time,Step,Value
1750386800.2059205,50,0.0
1750386801.4709194,57,0.0
1750386802.3779182,63,0.0
1750386803.5529172,70,0.0
1750386804.2289166,75,0.0
1750386804.767917,78,0.0
1750386805.1239164,80,0.0
1750386805.386916,82,0.0
1750386805.7439156,84,0.0
1750386805.9329157,85,0.0
1750386806.5219154,89,0.0
1750386806.835915,91,0.0
1750386807.6509137,96,0.0
1750386808.7379136,102,0.0
1750386809.7029123,108,0.0
1750386812.33291,124,0.0
1750386826.4748995,192,0.0
1750386829.8308969,212,0.0
1750386848.8578813,312,0.0
1750386850.4278808,320,0.0
1750386852.334879,330,0.0
1750386853.4658782,336,0.0
1750386854.7138765,342,0.0
1750386861.8978705,377,0.0
1750386873.2428615,423,0.0
1750386882.7338545,446,0.0
1750386897.7038417,510,0.0
1750386914.6148283,589,0.0
1750386917.8458264,602,0.0
1750386927.6028183,646,0.0
1750386945.9788032,724,0.0
1750386957.0557945,782,0.0
1750386959.7857928,798,0.0
1750386973.0457816,866,0.0
1750386977.5097785,889,0.0
1750386982.708774,913,0.0
1750387005.2027564,1004,0.0
1750387007.9647534,1015,0.0
1750387017.8147457,1055,0.0
1750387022.5817418,1074,0.0
1750387030.1027367,1103,0.0
1750387033.670733,1116,0.0
1750387036.0527318,1129,0.0
1750387047.7767222,1182,0.0
1750387051.4377193,1200,0.0
1750387058.8537135,1232,0.0
1750387062.0757103,1248,0.0
1750387067.1227067,1273,0.0
1750387069.7807045,1286,0.0
1750387071.3027034,1293,0.0
1750387074.2057006,1306,0.0
1750387082.892694,1346,0.0
1750387091.5716865,1382,0.0
1750387101.6046793,1424,0.0
1750387111.200671,1463,0.0
1750387122.5436618,1509,0.0
1750387129.0246563,1539,0.0
1750387152.7246382,1631,0.0
1750387157.2736347,1648,0.0
1750387160.044632,1660,0.0
1750387166.2466269,1685,0.0
1750387173.4226217,1713,0.0
1750387184.489612,1761,0.0
1750387191.7656066,1791,0.0
1750387196.9586024,1814,0.0
1750387200.7165995,1831,0.0
1750387241.1905665,2005,0.0
1750387245.4165642,2023,0.0
1750387262.9295492,2095,0.0
1750387272.716542,2144,0.0
1750387281.0215347,2179,0.0
1750387286.307531,2204,0.0
1750387300.2085195,2264,0.0
1750387326.3594995,2376,0.0
1750387367.9364655,2546,0.0
1750387376.2744591,2587,0.0
1750387379.5864563,2604,0.0
1750387381.4964542,2615,0.0
1750387422.3844216,2796,0.0
1750387429.2544165,2826,0.0
1750387435.9864104,2856,0.0
1750387452.941398,2927,0.0
1750387469.066384,2998,0.0
1750387473.3703809,3016,0.0
1750387550.860319,3337,0.0
1750387578.3672972,3456,0.0
1750387581.5342946,3472,0.0
1750387596.4882822,3542,0.0
1750387606.6702738,3590,0.0
1750387613.050269,3619,0.0
1750387642.1882455,3738,0.0
1750387652.8262374,3784,0.0
1750387660.1492312,3816,0.0
1750387671.783222,3869,0.0
1750387683.0492132,3917,0.0
1750387704.2231963,4003,0.0
1750387707.1231933,4016,0.0
1750387712.8151886,4040,0.0
1750387724.3371801,4095,0.0
1750387726.963178,4107,0.0
1750387730.106175,4122,0.0
1750387739.9421678,4161,0.0
1750387759.1681523,4205,0.0
1750387766.2531462,4221,0.0
1750387795.8261235,4294,0.0
1750387806.1141145,4338,0.0
1750387817.190106,4388,0.0
1750387819.4961035,4397,0.0
1750387844.1310835,4493,0.0
1750387849.2490804,4515,0.0
1750387853.9380763,4535,0.0
1750387863.5940685,4578,0.0
1750387890.1830475,4697,0.0
1750387896.3960426,4725,0.0
1750387898.5060403,4735,0.0
1750387902.8600366,4756,0.0
1750387913.725028,4810,0.0
1750387918.740024,4833,0.0
1750387942.8680046,4936,0.0
1750387955.6989942,4994,0.0
1750387961.1109908,5019,0.0
1750387964.5079873,5036,0.0
1750387983.259972,5112,0.0
1750388002.7889569,5199,0.0
1750388010.211951,5233,0.0
1750388068.1489048,5484,0.0
1750388083.1988924,5555,0.0
1750388109.3778713,5682,0.0
1750388114.749867,5706,0.0
1750388117.0208654,5717,0.0
1750388120.2568629,5736,0.0
1750388145.3288424,5853,0.0
1750388151.234838,5882,0.0
1750388154.3718352,5897,0.0
1750388158.5798323,5914,0.0
1750388169.0078235,5962,0.0
1750388171.0788217,5972,0.0
1750388173.92182,5985,0.0
1750388177.3228173,6002,0.0
1750388180.4128149,6017,0.0
1750388182.6198132,6028,0.0
1750388190.7728066,6064,0.0
1750388192.6578052,6073,0.0
1750388200.9547982,6115,0.0
1750388210.91479,6156,0.0
1750388216.8987856,6181,0.0
1750388221.1707819,6199,0.0
1750388226.938777,6228,0.0
1750388231.6527736,6250,0.0
1750388236.6267693,6276,0.0
1750388256.138754,6365,0.0
1750388278.4667356,6459,0.0
1750388288.8007274,6510,0.0
1750388313.745708,6622,0.0
1750388319.1047041,6646,0.0
1750388326.4316978,6679,0.0
1750388330.3996947,6697,0.0
1750388333.3626924,6710,0.0
1750388341.0316856,6744,0.0
1750388343.093684,6753,0.0
1750388349.324679,6781,0.0
1750388367.3196645,6860,0.0
1750388378.8496554,6917,0.0
1750388396.6436417,6997,0.0
1750388409.5596313,7050,0.0
1750388427.7646163,7126,0.0
1750388439.8796067,7178,0.0
1750388460.3725903,7271,0.0
1750388483.362572,7366,0.0
1750388488.4965677,7389,0.0
1750388499.6955583,7447,0.0
1750388512.310549,7502,0.0
1750388517.3425448,7525,0.0
1750388526.763537,7565,0.0
1750388539.6325274,7622,0.0
1750388545.215522,7646,0.0
1750388551.3125174,7678,0.0
1750388561.8705084,7723,0.0
1750388582.596492,7811,0.0
1750388608.4944718,7928,0.0
1750388626.9674566,8004,0.0
1750388631.4734533,8025,0.0
1750388644.238443,8082,0.0
1750388658.2354314,8136,0.0
1750388670.7084217,8188,0.0
1750388674.7744186,8208,0.0
1750388676.906417,8217,0.0
1750388685.1024106,8251,0.0
1750388712.436388,8379,0.0
1750388725.667378,8433,0.0
1750388739.2693665,8486,0.0
1750388743.2853634,8507,0.0
1750388773.9553387,8645,0.0
1750388777.414336,8660,0.0
1750388788.5673273,8716,0.0
1750388813.3693078,8823,0.0
1750388834.9822907,8919,0.0
1750388838.9612875,8935,0.0
1750388849.1442792,8980,0.0
1750388867.0532644,9062,0.0
1750388889.3562467,9154,0.0
1750388892.9902437,9170,0.0
1750388905.2562342,9219,0.0
1750388909.8852303,9238,0.0
1750388913.0162275,9253,0.0
1750388919.082223,9280,0.0
1750388937.0432086,9361,0.0
1750388939.8122065,9375,0.0
1750388951.3061972,9426,0.0
1750388982.8561718,9575,0.0
1750388993.607163,9626,0.0
1750389001.8061569,9665,0.0
1750389016.4551451,9732,0.0
1750389024.1311388,9766,0.0
1750389033.5171309,9811,0.0
1750389036.8101287,9828,0.0
1750389042.2361248,9856,0.0
1750389044.9141223,9871,0.0
1750389048.9141188,9888,0.0
1750389058.1371117,9929,0.0
1750389069.5191026,9977,0.0
1750389094.0340834,10080,0.0
1750389105.9200737,10132,0.0
1750389113.417067,10163,0.0
1750389125.2610576,10212,0.0
1750389143.652043,10291,0.0
1750389149.734038,10322,0.0
1750389161.578029,10369,0.0
1750389168.4420228,10402,0.0
1750389174.9890192,10430,0.0
1750389178.4630148,10445,0.0
1750389180.934013,10455,0.0
1750389183.4990113,10467,0.0
1750389193.3070028,10516,0.0
1750389200.9859982,10547,0.0
1750389207.5149922,10573,0.0
1750389222.0659804,10637,0.0
1750389230.3269732,10672,0.0
1750389240.6529653,10720,0.0
1750389246.7619607,10750,0.0
1750389253.3449554,10779,0.0
1750389255.8979533,10792,0.0
1750389259.3949504,10808,0.0
1750389269.5379422,10852,0.0
1750389276.2429366,10883,0.0
1750389280.9819326,10906,0.0
