Wall time,Step,Value
1752595410.98286,123,0.0
1752595416.8764908,144,0.0
1752595431.9152012,194,0.0
1752595433.3344717,199,0.0
1752595437.622158,215,0.0
1752595438.548103,219,0.0
1752595444.4415321,240,0.0
1752595446.7927158,249,0.0
1752595451.1178205,266,0.0
1752595451.5194764,267,0.0
1752595452.8825443,272,0.0
1752595455.2995305,281,0.0
1752595460.7418342,301,0.0
1752595462.6698837,308,0.0
1752595471.403069,340,0.0
1752595473.4373267,348,0.0
1752595475.1516068,354,0.0
1752595477.1512463,361,0.0
1752595479.8240373,372,0.0
1752595482.604797,382,0.0
1752595485.1013184,391,0.0
1752595495.0850816,424,0.0
1752595512.7449996,481,0.0
1752595517.246757,494,0.0
1752595528.4592643,529,0.0
1752595534.4081297,547,0.0
1752595540.6881368,566,0.0
1752595578.279396,680,0.0
1752595587.2622116,707,0.0
1752595663.289398,934,0.0
1752595669.8824344,951,0.0
1752595676.3667743,970,0.0
1752595692.011344,1015,0.0
1752595713.4950836,1075,0.0
1752595721.8024664,1099,0.0
1752595740.310652,1151,0.0
1752595748.7094297,1174,0.0
1752595754.0627007,1189,0.0
1752595762.79672,1213,0.0
1752595803.671465,1325,0.0
1752595810.299677,1343,0.0
1752595818.880253,1367,0.0
1752595828.3364697,1392,0.0
1752595843.242027,1432,0.0
1752595857.3970873,1471,0.0
1752595863.7385964,1488,0.0
1752595877.534313,1527,0.0
1752595886.887157,1553,0.0
1752595901.2521787,1592,0.0
1752595926.7857358,1662,0.0
1752595942.4039278,1704,0.0
1752595954.000193,1737,0.0
1752595959.3800795,1751,0.0
1752595976.4635305,1784,0.0
1752595992.222896,1817,0.0
1752596002.9614954,1836,0.0
1752596023.4874012,1869,0.0
1752596064.5126538,1945,0.0
1752596121.5116649,2055,0.0
1752596149.0215836,2111,0.0
1752596187.373402,2166,0.0
1752596207.610699,2190,0.0
1752596230.4881098,2217,0.0
1752596253.563942,2245,0.019999999552965164
1752596263.7181368,2257,0.019999999552965164
1752596289.9851513,2289,0.019999999552965164
1752596313.0488298,2317,0.019999999552965164
1752596390.6138642,2409,0.019999999552965164
1752596461.0465748,2497,0.03999999910593033
1752596486.937969,2527,0.05999999865889549
1752596522.293907,2569,0.07999999821186066
1752596578.1699135,2630,0.07999999821186066
1752596640.993603,2702,0.10000000149011612
1752596726.7610886,2804,0.11999999731779099
1752596862.4557521,2960,0.14000000059604645
1752596896.1482341,3000,0.1599999964237213
1752596969.9467344,3086,0.18000000715255737
1752596992.4240694,3110,0.18000000715255737
1752597042.2501657,3165,0.18000000715255737
1752597107.4247093,3240,0.2199999988079071
